Batsman,Strike_Rate
Abhishek Sharma,153.59
N Pooran,147.22
AK Markram,132.18
Umran Malik,114.99
SE Rutherford,134.43
CA Ingram,137.96
AF Milne,117.69
S Badree,81.33
S Aravind,100.0
E Lewis,144.37
GD Phillips,141.01
Anuj Rawat,118.19
DJ Willey,134.96
PWH de Silva,143.92
RD Chahar,102.7
JJ Bumrah,87.17
TA Boult,102.45
S Sohal,113.91
CL White,126.33
MJ McClenaghan,115.31
Atharva Taide,140.67
MW Short,143.28
P Simran Singh,143.54
Harpreet Singh,122.81
JM Sharma,147.59
Harpreet Brar,122.18
NT Ellis,111.69
MN Samuels,117.93
MR Marsh,132.41
RK Bhui,137.48
T Stubbs,152.4
Abishek Porel,149.63
MJ Clarke,108.22
MK Lomror,129.03
K Gowtham,158.18
JC Archer,147.04
JJ Roy,141.6
CV Varun,46.96
SM Katich,126.61
S Anirudha,124.57
A Nehra,67.64
SW Billings,132.77
MC Henriques,127.56
DJ Hooda,137.82
BCJ Cutting,145.25
JDS Neesham,142.33
R Shukla,98.8
Mohammed Shami,90.52
Rasikh Salam,91.04
PBB Rajapaksa,135.89
Arshdeep Singh,97.33
S Kaul,87.2
AB Agarkar,125.43
CK Langeveldt,85.41
AUK Pathan,148.75
CA Pujara,112.18
JJ van der Wath,127.51
DL Vettori,119.65
Anmolpreet Singh,129.04
H Klaasen,151.62
Sanvir Singh,187.05
M Jansen,135.26
M Markande,114.44
Fazalhaq Farooqi,31.42
M Morkel,108.67
RS Bopara,122.61
Parvez Rasool,105.66
Shashank Singh,144.11
SA Asnodkar,124.19
SK Warne,92.1
Sohail Tanvir,120.56
C Munro,141.25
KW Richardson,113.25
AA Kulkarni,158.53
A Badoni,135.13
VG Arora,61.11
TM Head,142.62
Nithish Kumar Reddy,128.24
S Chanderpaul,105.77
MV Boucher,115.41
B Akhil,148.61
S Gopal,119.24
Kartik Tyagi,81.25
S Nadeem,89.38
R Sanjay Yadav,118.95
Ramandeep Singh,166.05
J Botha,113.06
AL Menaria,115.67
I Udana,129.45
KB Arun Karthik,124.0
A Mithun,122.42
PJ Cummins,138.44
RR Sarwan,103.81
WG Jacks,158.95
Saurav Chauhan,150.62
Vijaykumar Vyshak,106.06
B Indrajith,101.49
Sachin Baby,130.86
PV Tambe,52.77
SK Trivedi,92.2
K Goel,91.88
JR Hopes,124.09
HM Amla,126.04
MD Shanaka,140.07
A Manohar,149.4
VRV Singh,125.8
U Kaul,97.68
TG Southee,140.34
N Saini,101.77
SD Chitnis,153.15
B Lee,131.23
Iqbal Abdulla,99.3
L Balaji,87.09
J Fraser-McGurk,156.25
SD Hope,127.72
TM Srivastava,116.3
MC Juneja,126.59
T Kohler-Cadmore,138.96
R Powell,139.45
J Theron,108.71
RJ Peterson,111.6
TD Paine,122.27
M Muralitharan,73.63
A Nortje,96.55
Mukesh Kumar,68.96
AG Paunikar,113.76
RE van der Merwe,131.8
NS Naik,128.13
VVS Laxman,114.71
Jaskaran Singh,146.57
LA Pomersbach,129.8
WA Mota,91.56
RR Powar,102.85
MS Wade,136.47
AC Thomas,106.77
W Jaffer,129.14
RT Ponting,110.98
T Shamsi,53.84
Abdul Basith,139.37
SD Lad,118.86
AS Joseph,104.76
KR Mayers,131.07
JD Unadkat,131.64
Ravi Bishnoi,87.31
Avesh Khan,120.0
Y Nagar,106.88
M Ashwin,85.38
RP Meredith,96.77
Sumit Kumar,131.55
FA Allen,142.85
TS Mills,92.59
AD Hales,146.16
G Coetzee,110.69
SZ Mulani,114.02
MJ Santner,132.04
D Pretorius,137.27
KC Cariappa,118.39
Mohammad Hafeez,123.65
KP Appanna,130.0
RJ Quiney,121.97
PD Salt,155.47
RE Levi,144.03
SS Prabhudessai,134.08
WD Parnell,123.24
Mohammad Asif,86.66
GD McGrath,50.0
M Klinger,123.08
DR Shorey,118.11
A Zampa,85.54
DH Yagnik,116.96
CR Brathwaite,136.31
NLTC Perera,150.92
B Stanlake,65.21
A Choudhary,94.17
DJ Harris,127.43
PA Reddy,123.15
J Arunkumar,101.28
Misbah-ul-Haq,116.48
DT Patil,113.94
Abdur Razzak,85.89
D Ferreira,152.24
SM Harwood,132.89
MS Gony,149.55
LE Plunkett,130.95
Harmeet Singh,188.88
P Awana,51.16
AB McDonald,124.41
KS Sharma,116.25
Mohsin Khan,111.11
S Sriram,99.57
T Banton,141.54
KL Nagarkoti,81.03
M Prasidh Krishna,34.48
LH Ferguson,115.11
PN Mankad,141.19
WPUJC Vaas,110.52
Shoaib Ahmed,16.66
Tanush Kotian,101.17
KA Maharaj,115.29
A Tomar,114.33
TR Birt,129.0
AD Mascarenhas,127.32
B Sumanth,122.66
MG Bracewell,133.63
CRD Fernando,92.15
GC Viljoen,129.07
TL Seifert,129.69
L Wood,114.18
B Laughlin,90.52
SP Fleming,121.91
S Vidyut,129.74
M Ntini,69.76
TK Curran,142.24
AS Rajpoot,75.0
Mujeeb Ur Rahman,103.07
BJ Rohrer,133.09
Mustafizur Rahman,77.29
UT Khawaja,130.39
Arjun Tendulkar,118.07
Ashutosh Sharma,187.07
Sikandar Raza,134.09
AP Majumdar,103.95
CJ Ferguson,124.83
AG Murtaza,86.23
P Chopra,114.71
P Dogra,115.6
A Uniyal,75.0
Yudhvir Singh,186.56
P Parameswaran,75.0
JR Hazlewood,92.75
Ankit Sharma,102.7
Kumar Kushagra,113.49
JA Richardson,109.41
J Syed Mohammad,110.71
R Rampaul,104.09
S Randiv,138.82
DE Bollinger,95.83
BMAJ Mendis,123.62
AS Roy,146.89
Harshit Rana,66.66
Anirudh Singh,89.81
AD Nath,115.52
Basil Thampi,108.95
Mukesh Choudhary,121.05
SS Cottrell,114.85
SB Bangar,124.5
AS Yadav,111.23
AN Ahmed,111.57
F Behardien,131.13
T Natarajan,53.33
RV Gomez,128.78
S Sreesanth,76.84
PVD Chameera,96.66
IC Pandey,123.86
JE Root,127.14
KM Asif,33.33
L Ronchi,153.51
SM Pollock,141.89
MA Khote,137.38
S Ladda,41.66
DP Nannes,83.54
BB Samantray,117.05
Aman Hakim Khan,136.26
JM Kemp,124.44
RA Bawa,117.09
OF Smith,133.21
YV Dhull,127.27
HC Brook,149.61
DJ Jacobs,117.56
MJ Guptill,130.43
Swapnil Singh,127.29
Sunny Gupta,96.42
C Sakariya,59.52
Arshad Khan,132.6
Naveen-ul-Haq,96.36
PD Collingwood,121.47
CK Kapugedera,129.44
SJ Srivastava,85.71
S Lamichhane,86.98
NL McCullum,125.91
JE Taylor,120.9
Y Gnaneswara Rao,123.98
AA Noffke,139.15
SB Joshi,90.69
AU Rashid,106.69
VS Yeligati,120.0
DS Lehmann,117.95
AA Chavan,128.33
GB Hogg,105.4
Akash Deep,144.44
RV Patel,145.11
AT Carey,127.98
HR Shokeen,106.06
UA Birla,107.94
K Upadhyay,92.68
NM Coulter-Nile,129.77
KMA Paul,126.59
A Raghuvanshi,134.37
DJ Thornely,117.87
SA Abbott,122.08
BA Bhatt,123.28
BAW Mendis,86.99
A Mukund,110.3
Sunny Singh,119.32
Yashpal Singh,106.74
SS Shaikh,121.25
R Ninan,50.0
Mayank Dagar,74.22
RJW Topley,92.66
S Narwal,162.94
SW Tait,81.09
Sameer Rizvi,132.06
